100,384
99,0
98,384
97,384
96,384
95,0
94,0
93,0
92,384
91,0
90,384
89,288
88,384
87,0
86,0
85,0
84,384
83,192
82,384
81,384
80,384
79,0
78,0
77,0
76,192
75,192
74,0
73,192
72,0
71,384
70,0
69,0
68,384
67,0
66,384
65,384
64,0
63,0
62,384
61,384
60,0
59,0
58,0
57,384
56,0
55,0
54,384
53,384
52,384
51,384
50,0
49,384
48,0
47,0
46,192
45,0
44,384
43,0
42,384
41,384
40,384
39,384
38,384
37,384
36,0
35,128
34,384
33,0
32,0
31,384
30,0
29,384
28,256
27,384
26,0
25,384
24,384
23,0
22,0
21,384
20,0
19,0
18,384
17,384
16,0
15,0
14,384
13,384
12,0
11,384
10,192
9,384
8,0
7,96
6,0
5,384
4,384
3,384
2,384
1,384
-1,0
-2,0
-3,0
-4,0
-5,0
-6,384
-7,288
-8,384
-9,0
-10,192
-11,0
-12,384
-13,0
-14,0
-15,384
-16,384
-17,0
-18,0
-19,384
-20,384
-21,0
-22,384
-23,384
-24,0
-25,0
-26,384
-27,0
-28,128
-29,0
-30,384
-31,0
-32,384
-33,384
-34,0
-35,256
-36,384
-37,0
-38,0
-39,0
-40,0
-41,0
-42,0
-43,384
-44,0
-45,384
-46,192
-47,384
-48,384
-49,0
-50,384
-51,0
-52,0
-53,0
-54,0
-55,384
-56,384
-57,0
-58,384
-59,384
-60,384
-61,0
-62,0
-63,384
-64,384
-65,0
-66,0
-67,384
-68,0
-69,384
-70,384
-71,0
-72,384
-73,192
-74,384
-75,192
-76,192
-77,384
-78,384
-79,384
-80,0
-81,0
-82,0
-83,192
-84,0
-85,384
-86,384
-87,384
-88,0
-89,96
-90,0
-91,384
-92,0
-93,384
-94,384
-95,384
-96,0
-97,0
-98,0
-99,384
-100,0
