formula,solver,runtime,conflicts
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_13.cnf,wrapper-base.sh,0.006021,561
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_9.cnf,wrapper-base.sh,0.004084,464
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_5.cnf,wrapper-base.sh,0.001862,110
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_4.cnf,wrapper-base.sh,0.001289,37
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_1.cnf,wrapper-base.sh,0.003798,296
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_12.cnf,wrapper-base.sh,0.001844,132
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_10.cnf,wrapper-base.sh,0.001134,23
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_2.cnf,wrapper-base.sh,0.002739,98
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_22.cnf,wrapper-base.sh,0.002799,149
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_3.cnf,wrapper-base.sh,0.001802,89
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_1.cnf,wrapper-base.sh,0.001764,97
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_44.cnf,wrapper-base.sh,0.00464,143
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_9.cnf,wrapper-base.sh,0.003949,238
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_39.cnf,wrapper-base.sh,0.004697,475
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_13.cnf,wrapper-base.sh,0.00381,372
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_1.cnf,wrapper-base.sh,0.001022,112
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_11.cnf,wrapper-base.sh,0.000917,55
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_1.cnf,wrapper-base.sh,0.00266,113
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_5.cnf,wrapper-base.sh,0.00418,292
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_6.cnf,wrapper-base.sh,0.003328,128
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_6.cnf,wrapper-base.sh,0.003018,183
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_49.cnf,wrapper-base.sh,0.006785,752
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_8.cnf,wrapper-base.sh,0.003705,361
