formula,solver,runtime,conflicts
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_13.cnf,SWDiA5BY,0.001842,318
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_9.cnf,SWDiA5BY,0.000876,74
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_5.cnf,SWDiA5BY,0.002158,415
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_4.cnf,SWDiA5BY,0.000738,47
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_1.cnf,SWDiA5BY,0.003147,222
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_12.cnf,SWDiA5BY,0.001266,183
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_10.cnf,SWDiA5BY,0.002158,36
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_2.cnf,SWDiA5BY,0.00072,96
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_22.cnf,SWDiA5BY,0.001471,234
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_3.cnf,SWDiA5BY,0.001112,74
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_1.cnf,SWDiA5BY,0.002047,141
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_44.cnf,SWDiA5BY,0.003014,298
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_9.cnf,SWDiA5BY,0.001164,68
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_39.cnf,SWDiA5BY,0.003241,298
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_13.cnf,SWDiA5BY,0.004807,575
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_1.cnf,SWDiA5BY,0.002823,139
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_11.cnf,SWDiA5BY,0.001042,34
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_1.cnf,SWDiA5BY,0.000987,193
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_5.cnf,SWDiA5BY,0.002763,371
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_6.cnf,SWDiA5BY,0.003154,272
