formula,solver,runtime,conflicts
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperLBD.sh,0.008,511
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperClause.sh,0.008,515
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperLBD.sh,0.004,511
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperClause.sh,0.004,515
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperLBD.sh,0.008,511
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperClause.sh,0.004,515
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperLBD.sh,0.008,511
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperClause.sh,0.004,515
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperLBD.sh,0.008,511
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperClause.sh,0.004,515
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperLBD.sh,0.008,511
/media/deebee/0C02FA58AF702C55/data/exp3/instances/90_0.cnf,wrapperClause.sh,0.008,515
