formula,solver,runtime,conflicts
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_18.cnf,wrapper-luby.sh,0.001675,46
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_2.cnf,wrapper-luby.sh,0.005064,395
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_13.cnf,wrapper-luby.sh,0.002271,68
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_7.cnf,wrapper-luby.sh,0.003284,256
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_13.cnf,wrapper-luby.sh,0.002544,203
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_11.cnf,wrapper-luby.sh,0.002248,254
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_3.cnf,wrapper-luby.sh,0.003183,203
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_18.cnf,wrapper-luby.sh,0.004597,442
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_6.cnf,wrapper-luby.sh,0.002087,207
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_20.cnf,wrapper-luby.sh,0.011498,1108
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_16.cnf,wrapper-luby.sh,0.00346,263
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_18.cnf,wrapper-luby.sh,0.002636,151
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_14.cnf,wrapper-luby.sh,0.001169,25
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_15.cnf,wrapper-luby.sh,0.002805,274
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_10.cnf,wrapper-luby.sh,0.003456,285
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_43.cnf,wrapper-luby.sh,0.000946,190
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_12.cnf,wrapper-luby.sh,0.004769,324
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_11.cnf,wrapper-luby.sh,0.004913,531
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_8.cnf,wrapper-luby.sh,0.006552,811
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_8.cnf,wrapper-luby.sh,0.005547,865
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_13.cnf,wrapper-luby.sh,0.006692,664
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_0.cnf,wrapper-luby.sh,0.005241,250
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_48.cnf,wrapper-luby.sh,0.002617,178
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_11.cnf,wrapper-luby.sh,0.00497,441
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_0.cnf,wrapper-luby.sh,0.004288,357
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_38.cnf,wrapper-luby.sh,0.003686,335
