formula,solver,runtime,conflicts,entropy,num sols
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_13.cnf,wrapper-base.sh,0.006021,561,0.128,2620
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_9.cnf,wrapper-base.sh,0.004084,464,0.236,3968
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_5.cnf,wrapper-base.sh,0.001862,110,0.14,23752
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_4.cnf,wrapper-base.sh,0.001289,37,0.266,160271
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_1.cnf,wrapper-base.sh,0.003798,296,0.096,1224
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_12.cnf,wrapper-base.sh,0.001844,132,0.126,53280
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_10.cnf,wrapper-base.sh,0.001134,23,0.158,15052
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_2.cnf,wrapper-base.sh,0.002739,98,0.184,148844
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_22.cnf,wrapper-base.sh,0.002799,149,0.066,176
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_3.cnf,wrapper-base.sh,0.001802,89,0.14,8288
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_1.cnf,wrapper-base.sh,0.001764,97,0.09,4828
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_44.cnf,wrapper-base.sh,0.00464,143,0.062,240
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_9.cnf,wrapper-base.sh,0.003949,238,0.142,5052
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_39.cnf,wrapper-base.sh,0.004697,475,0.047,54
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_13.cnf,wrapper-base.sh,0.00381,372,0.166,15443
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_1.cnf,wrapper-base.sh,0.001022,112,0.066,240
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_11.cnf,wrapper-base.sh,0.000917,55,0.29,144106
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_1.cnf,wrapper-base.sh,0.00266,113,0.2,11408
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_5.cnf,wrapper-base.sh,0.00418,292,0.076,392
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_6.cnf,wrapper-base.sh,0.003328,128,0.378,2864
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_6.cnf,wrapper-base.sh,0.003018,183,0.126,60256
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_49.cnf,wrapper-base.sh,0.006785,752,0.06,324
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_8.cnf,wrapper-base.sh,0.003705,361,0.128,50
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_36.cnf,wrapper-base.sh,0.006083,608,0.063,144
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_21.cnf,wrapper-base.sh,0.003581,280,0.108,386
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_7.cnf,wrapper-base.sh,0.009221,907,0.11,6336
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_5.cnf,wrapper-base.sh,0.003221,354,0.18,5696
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_18.cnf,wrapper-base.sh,0.003152,221,0.128,16468
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_12.cnf,wrapper-base.sh,0.00502,298,0.092,5624
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_14.cnf,wrapper-base.sh,0.004111,438,0.112,39484
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_33.cnf,wrapper-base.sh,0.005574,565,0.058,244
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_17.cnf,wrapper-base.sh,0.002817,34,0.18,6988
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_29.cnf,wrapper-base.sh,0.003955,244,0.06,168
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_0.cnf,wrapper-base.sh,0.002023,40,0.248,214200
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_41.cnf,wrapper-base.sh,0.007209,867,0.07,432
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_16.cnf,wrapper-base.sh,0.003557,57,0.21,167770
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_3.cnf,wrapper-base.sh,0.002634,174,0.348,4072
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_20.cnf,wrapper-base.sh,0.003307,343,0.054,210
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_15.cnf,wrapper-base.sh,0.002478,91,0.116,3592
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_16.cnf,wrapper-base.sh,0.002692,158,0.14,168670
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_50.cnf,wrapper-base.sh,0.005217,623,0.054,140
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_20.cnf,wrapper-base.sh,0.002659,162,0.14,70172
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_0.cnf,wrapper-base.sh,0.005167,397,0.152,12910
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_37.cnf,wrapper-base.sh,0.004952,272,0.064,120
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_32.cnf,wrapper-base.sh,0.004114,305,0.068,288
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_20.cnf,wrapper-base.sh,0.003949,388,0.21,129184
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_5.cnf,wrapper-base.sh,0.003963,412,0.172,73118
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_25.cnf,wrapper-base.sh,0.004077,268,0.078,384
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_16.cnf,wrapper-base.sh,0.003167,169,0.096,4744
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_9.cnf,wrapper-base.sh,0.004738,362,0.074,504
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_15.cnf,wrapper-base.sh,0.004775,347,0.062,264
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_7.cnf,wrapper-base.sh,0.003878,346,0.124,36626
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_16.cnf,wrapper-base.sh,0.005805,546,0.064,360
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_19.cnf,wrapper-base.sh,0.005753,521,0.106,3872
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_10.cnf,wrapper-base.sh,0.002212,107,0.292,148068
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_17.cnf,wrapper-base.sh,0.004939,633,0.098,8056
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_2.cnf,wrapper-base.sh,0.001791,37,0.14,4432
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_19.cnf,wrapper-base.sh,0.003954,153,0.108,17568
