formula,solver,runtime,conflicts,entropy,num sols
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_19.cnf,wrapper-luby.sh,0.004457,433,0.106,3872
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_10.cnf,wrapper-luby.sh,0.001041,107,0.292,148068
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_17.cnf,wrapper-luby.sh,0.006511,778,0.098,8056
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_2.cnf,wrapper-luby.sh,0.000922,37,0.14,4432
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_19.cnf,wrapper-luby.sh,0.002109,153,0.108,17568
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_14.cnf,wrapper-luby.sh,0.003582,382,0.068,336
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_14.cnf,wrapper-luby.sh,0.001996,106,0.182,363412
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_18.cnf,wrapper-luby.sh,0.001675,46,0.25,210950
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_2.cnf,wrapper-luby.sh,0.005064,395,0.094,76
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_13.cnf,wrapper-luby.sh,0.002271,68,0.196,29880
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_7.cnf,wrapper-luby.sh,0.003284,256,0.246,14208
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_13.cnf,wrapper-luby.sh,0.002544,203,0.109,7296
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_11.cnf,wrapper-luby.sh,0.002248,254,0.172,1610
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_3.cnf,wrapper-luby.sh,0.003183,203,0.104,3648
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_18.cnf,wrapper-luby.sh,0.004597,442,0.062,360
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_6.cnf,wrapper-luby.sh,0.002087,207,0.075,288
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_20.cnf,wrapper-luby.sh,0.011498,1108,0.072,702
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_16.cnf,wrapper-luby.sh,0.00346,263,0.142,3980
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_18.cnf,wrapper-luby.sh,0.002636,151,0.164,234504
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_14.cnf,wrapper-luby.sh,0.001169,25,0.266,23488
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_15.cnf,wrapper-luby.sh,0.002805,274,0.126,37536
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_10.cnf,wrapper-luby.sh,0.003456,285,0.066,192
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_43.cnf,wrapper-luby.sh,0.000946,190,0.074,416
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_12.cnf,wrapper-luby.sh,0.004769,324,0.324,288
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_11.cnf,wrapper-luby.sh,0.004913,531,0.12,16194
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_8.cnf,wrapper-luby.sh,0.006552,811,0.102,2872
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_8.cnf,wrapper-luby.sh,0.005547,865,0.072,336
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_13.cnf,wrapper-luby.sh,0.006692,664,0.065,264
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_0.cnf,wrapper-luby.sh,0.005241,250,0.092,3364
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_48.cnf,wrapper-luby.sh,0.002617,178,0.058,220
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_11.cnf,wrapper-luby.sh,0.00497,441,0.262,1960
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_0.cnf,wrapper-luby.sh,0.004288,357,0.15,15168
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_38.cnf,wrapper-luby.sh,0.003686,335,0.06,112
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_34.cnf,wrapper-luby.sh,0.003507,474,0.07,432
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_27.cnf,wrapper-luby.sh,0.004577,569,0.072,416
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_4.cnf,wrapper-luby.sh,0.003781,308,0.178,1224
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_40.cnf,wrapper-luby.sh,0.002472,253,0.06,200
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_35.cnf,wrapper-luby.sh,0.005184,533,0.082,448
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_9.cnf,wrapper-luby.sh,0.002832,97,0.276,146300
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_21.cnf,wrapper-luby.sh,0.002122,140,0.08,576
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_31.cnf,wrapper-luby.sh,0.002834,369,0.072,352
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_6.cnf,wrapper-luby.sh,0.00255,91,0.184,46708
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_0.cnf,wrapper-luby.sh,0.003032,326,0.078,384
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_17.cnf,wrapper-luby.sh,0.003152,118,0.176,367412
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_20.cnf,wrapper-luby.sh,0.004957,681,0.174,87030
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_45.cnf,wrapper-luby.sh,0.003781,374,0.09,768
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_15.cnf,wrapper-luby.sh,0.002286,187,0.184,1318
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_17.cnf,wrapper-luby.sh,0.003886,286,0.055,144
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_26.cnf,wrapper-luby.sh,0.003476,481,0.06,288
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_19.cnf,wrapper-luby.sh,0.004748,343,0.316,232
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_5.cnf,wrapper-luby.sh,0.002918,275,0.218,118754
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_46.cnf,wrapper-luby.sh,0.006461,633,0.069,304
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_17.cnf,wrapper-luby.sh,0.001808,191,0.136,140120
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_12.cnf,wrapper-luby.sh,0.006902,822,0.06,170
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_30.cnf,wrapper-luby.sh,0.002221,172,0.062,240
