formula,solver,runtime,conflicts,entropy,num sols
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_13.cnf,SWDiA5BY,0.001842,318,0.128,2620
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_9.cnf,SWDiA5BY,0.000876,74,0.236,3968
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_5.cnf,SWDiA5BY,0.002158,415,0.14,23752
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_4.cnf,SWDiA5BY,0.000738,47,0.266,160271
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_1.cnf,SWDiA5BY,0.003147,222,0.096,1224
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_12.cnf,SWDiA5BY,0.001266,183,0.126,53280
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_10.cnf,SWDiA5BY,0.002158,36,0.158,15052
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_2.cnf,SWDiA5BY,0.00072,96,0.184,148844
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_22.cnf,SWDiA5BY,0.001471,234,0.066,176
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_3.cnf,SWDiA5BY,0.001112,74,0.14,8288
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_1.cnf,SWDiA5BY,0.002047,141,0.09,4828
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_44.cnf,SWDiA5BY,0.003014,298,0.062,240
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_9.cnf,SWDiA5BY,0.001164,68,0.142,5052
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_39.cnf,SWDiA5BY,0.003241,298,0.047,54
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_13.cnf,SWDiA5BY,0.004807,575,0.166,15443
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_1.cnf,SWDiA5BY,0.002823,139,0.066,240
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_11.cnf,SWDiA5BY,0.001042,34,0.29,144106
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_1.cnf,SWDiA5BY,0.000987,193,0.2,11408
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_5.cnf,SWDiA5BY,0.002763,371,0.076,392
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_6.cnf,SWDiA5BY,0.003154,272,0.378,2864
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_6.cnf,SWDiA5BY,0.004611,636,0.126,60256
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_49.cnf,SWDiA5BY,0.004534,634,0.06,324
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_8.cnf,SWDiA5BY,0.003044,203,0.128,50
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_36.cnf,SWDiA5BY,0.002484,297,0.063,144
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_21.cnf,SWDiA5BY,0.004966,555,0.108,386
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_7.cnf,SWDiA5BY,0.004779,597,0.11,6336
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_5.cnf,SWDiA5BY,0.001815,197,0.18,5696
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_18.cnf,SWDiA5BY,0.002299,266,0.128,16468
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_12.cnf,SWDiA5BY,0.002809,359,0.092,5624
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_14.cnf,SWDiA5BY,0.006985,765,0.112,39484
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_33.cnf,SWDiA5BY,0.003209,379,0.058,244
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_17.cnf,SWDiA5BY,0.000695,30,0.18,6988
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_29.cnf,SWDiA5BY,0.00097,163,0.06,168
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_0.cnf,SWDiA5BY,0.000974,32,0.248,214200
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_41.cnf,SWDiA5BY,0.00194,223,0.07,432
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_16.cnf,SWDiA5BY,0.001013,31,0.21,167770
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_3.cnf,SWDiA5BY,0.004074,486,0.348,4072
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_20.cnf,SWDiA5BY,0.004034,454,0.054,210
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_15.cnf,SWDiA5BY,0.001919,108,0.116,3592
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_16.cnf,SWDiA5BY,0.004338,316,0.14,168670
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_50.cnf,SWDiA5BY,0.003661,566,0.054,140
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_20.cnf,SWDiA5BY,0.006144,653,0.14,70172
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_0.cnf,SWDiA5BY,0.002921,108,0.152,12910
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_37.cnf,SWDiA5BY,0.006721,607,0.064,120
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_32.cnf,SWDiA5BY,0.001797,255,0.068,288
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_20.cnf,SWDiA5BY,0.001982,211,0.21,129184
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_5.cnf,SWDiA5BY,0.004407,491,0.172,73118
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_25.cnf,SWDiA5BY,0.003214,290,0.078,384
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_16.cnf,SWDiA5BY,0.002129,283,0.096,4744
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_9.cnf,SWDiA5BY,0.004693,644,0.074,504
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_15.cnf,SWDiA5BY,0.003208,282,0.062,264
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_7.cnf,SWDiA5BY,0.002044,281,0.124,36626
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_16.cnf,SWDiA5BY,0.003058,363,0.064,360
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_19.cnf,SWDiA5BY,0.002974,314,0.106,3872
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_10.cnf,SWDiA5BY,0.001371,133,0.292,148068
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_17.cnf,SWDiA5BY,0.004013,409,0.098,8056
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_2.cnf,SWDiA5BY,0.001186,81,0.14,4432
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_19.cnf,SWDiA5BY,0.004638,705,0.108,17568
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_14.cnf,SWDiA5BY,0.002033,231,0.068,336
