formula,formulaType,runtime,conflicts,runtime-NR,conflicts-NR,entropy,num sols
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_19.cnf,CBS,0.005869,705,0.005144,705,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_14.cnf,CBS,0.001074,231,0.003223,231,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_14.cnf,CBS,0.001845,149,0.000922,149,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_18.cnf,CBS,0.001114,57,0.000736,57,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_2.cnf,CBS,0.006996,899,0.007917,899,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_13.cnf,CBS,0.001141,113,0.000843,113,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_7.cnf,CBS,0.00572,787,0.005836,787,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_13.cnf,CBS,0.005686,768,0.005847,768,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_11.cnf,CBS,0.001934,334,0.0038,334,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_3.cnf,CBS,0.003577,586,0.003575,586,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_18.cnf,CBS,0.00324,622,0.004286,622,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_6.cnf,CBS,0.00436,595,0.004367,595,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_20.cnf,CBS,0.003975,518,0.002979,518,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_16.cnf,CBS,0.001347,76,0.001176,76,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_18.cnf,CBS,0.000911,180,0.001392,180,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_14.cnf,CBS,0.001362,21,0.001859,21,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_15.cnf,CBS,0.002332,300,0.004427,300,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_10.cnf,CBS,0.001787,320,0.003288,320,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_43.cnf,CBS,0.003581,239,0.001794,239,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_12.cnf,CBS,0.002264,269,0.001942,269,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_11.cnf,CBS,0.006332,872,0.006346,872,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_8.cnf,CBS,0.00381,331,0.001863,331,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_8.cnf,CBS,0.002912,313,0.001863,313,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_13.cnf,CBS,0.008379,847,0.007787,847,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_0.cnf,CBS,0.004606,458,0.004768,458,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_48.cnf,CBS,0.004759,738,0.005534,738,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_11.cnf,CBS,0.001929,185,0.000962,185,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_0.cnf,CBS,0.007363,955,0.008778,955,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_38.cnf,CBS,0.00543,728,0.004669,728,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_34.cnf,CBS,0.005409,573,0.004186,573,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_27.cnf,CBS,0.001663,170,0.001665,170,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_4.cnf,CBS,0.002534,283,0.002685,283,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_40.cnf,CBS,0.002468,322,0.002798,322,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_35.cnf,CBS,0.003964,674,0.003996,674,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_9.cnf,CBS,0.0,106,0.000906,106,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_21.cnf,CBS,0.005009,670,0.005093,670,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_31.cnf,CBS,0.002542,399,0.003044,399,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_6.cnf,CBS,0.001095,63,0.002162,63,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_0.cnf,CBS,0.003326,428,0.002699,428,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_17.cnf,CBS,0.001809,301,0.002376,301,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_20.cnf,CBS,0.004594,471,0.003773,471,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_45.cnf,CBS,0.001267,122,0.000916,122,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_15.cnf,CBS,0.002993,226,0.001493,226,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_17.cnf,CBS,0.002669,436,0.004187,436,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_26.cnf,CBS,0.004485,340,0.001877,340,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_19.cnf,CBS,0.00299,376,0.002642,376,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_5.cnf,CBS,0.002091,221,0.003181,221,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_46.cnf,CBS,0.002355,293,0.003592,293,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_17.cnf,CBS,0.002982,501,0.004054,501,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_12.cnf,CBS,0.009695,980,0.008792,980,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_30.cnf,CBS,0.002954,393,0.003031,393,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_28.cnf,CBS,0.004011,620,0.003306,620,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_10.cnf,CBS,0.001211,92,0.000757,92,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_7.cnf,CBS,0.003207,289,0.003096,289,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_23.cnf,CBS,0.003202,191,0.003342,191,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_2.cnf,CBS,0.002082,163,0.002846,163,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_7.cnf,CBS,0.001319,146,0.002674,146,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_24.cnf,CBS,0.002807,328,0.002524,328,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_19.cnf,CBS,0.000804,20,0.000936,20,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_14.cnf,CBS,0.002822,96,0.001058,96,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_47.cnf,CBS,0.004836,620,0.004637,620,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_1.cnf,CBS,0.002328,85,0.001539,85,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_9.cnf,CBS,0.0029,512,0.004915,512,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_12.cnf,CBS,0.000909,145,0.002753,145,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_3.cnf,CBS,0.000797,85,0.001554,85,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_42.cnf,CBS,0.001361,154,0.002774,154,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_4.cnf,CBS,0.000784,87,0.000758,87,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_11.cnf,CBS,0.00143,194,0.002009,194,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_19.cnf,CBS,0.006863,749,0.005845,749,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_6.cnf,CBS,0.006458,586,0.003662,586,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_18.cnf,CBS,0.000793,92,0.002286,92,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_3.cnf,CBS,0.006002,944,0.007007,944,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_8.cnf,CBS,0.0,20,0.000941,20,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_2.cnf,CBS,0.003057,362,0.003037,362,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_10.cnf,CBS,0.003653,319,0.001847,319,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_15.cnf,CBS,0.0,1,0.0,1,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_4.cnf,CBS,0.003127,321,0.003152,321,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_8.cnf,CBS,0.002803,368,0.003483,368,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_4.cnf,CBS,0.003783,435,0.003513,435,,
/home/sdorco/newInstances/CBS_4.cnf,CBS,0.003783,435,0.003513,435,,
